Account Name,Product Name,Quantity,Offered Price (converted),Subscription Product ARR (converted)
BoostUp.ai,Training Essentials,6,10.93,786.96
AltiSales,Training Essentials,8,6.48,518.4
Paytronix,Training Essentials,8,5.01,400.65
APS Payroll,Training Essentials,10,6,599.76
ActZero,Training Essentials,10,15.83,1583.33
ActZero,Training Essentials,10,5.4,540
LightEdge Solutions,Training Essentials,10,11.4,1140
Flashbay,Training Essentials,10,25,3000
Siteimprove,Training Essentials,10,4.93,493
Moveworks,Training Essentials,11,9.6,1056
Aurigo Software Technologies,Training Essentials,12,5.38,645.15
Keyfactor,Training Essentials,15,4.78,860.34
IDR,Training Essentials,20,20.84,5000.4
LetsAllDoGood,Training Essentials,20,7.2,1440
Aera Technology Inc.,Training Essentials,20,17.86,4285.2
APS Payroll,Training Essentials,22,4.3,945.43
Syndigo,Training Essentials,22,3.77,829.4
Okta,Training Essentials,22,11.5,2530
Keyfactor,Training Essentials,25,4.11,1233.87
Hoffmann-La Roche India,Training Essentials,25,2.86,858.93
SecureAuth Corporation,Training Essentials,25,7.2,1800
United Rentals,Training Essentials,25,6,1800
Skybox Security,Training Essentials,25,12,3000
Aurigo Software Technologies,Training Essentials,27,5.41,1460.45
EIGENSONNE,Training Essentials,27,6.67,1801.61
Havenpark Communities,Training Essentials,30,7.98,2394
DataVisor,Training Essentials,30,6,1800
LightEdge Solutions,Training Essentials,30,11.4,3420
Stream.IO,Training Essentials,32,5.96,2287.21
TIDAL,Training Essentials,35,19,6650
Paytronix,Training Essentials,37,6.56,2427.02
Sastrify,Training Essentials,40,6.05,2903.14
SkyHive,Training Essentials,40,6,2880
Panther,Training Essentials,40,12.6,5040
Uniphore,Training Essentials,41,0.88,360.65
Paytronix,Training Essentials,41,4.16,1705.52
Bharat Serums and Vaccines Pvt Ltd,Training Essentials,44,1.35,715
Heimdal Security,Training Essentials,45,7.13,3209.25
GlaxoSmithKline Global,Training Essentials,49,1.91,933.45
Kaseya (Ex-Datto),Training Essentials,50,7.04,4222.22
Spendflo,Training Essentials,50,11.4,5700
Unravel Data,Training Essentials,50,3.82,1910
QlikTech,Training Essentials,50,3.5,1750
LightEdge Solutions,Training Essentials,50,11.4,5700
NxStage Medical Inc.,Training Essentials,50,8.55,5130
Pubnub,Training Essentials,50,5.4,3240
Paytronix,Training Essentials,50,2.75,1375
Yalo,Training Essentials,50,6,3600
ChowNow,Training Essentials,50,18.58,9288.89
NAVEX,Training Essentials,50,2.55,1275
NAVEX,Training Essentials,50,2.3,1150
